serial_number,ph_action_number,ph_action_code,cm_sys_dt,ph_action_date,last_modified_date,oracle_apply_time,cm_prcd_num,ri_notif_dt,cm_desc,fifth_char_cm_type,cm_flg_paper,ttab_tracking_num,tm_worker_eid,create_ts,create_user_id,update_ts,update_user_id
74195445,6,OP.I,null,1992-08-14,1992-08-14T00:00:00.000Z,null,88071,null,OPPOSITION INSTITUTED NO. 999999,T,0,null,88071,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74224365,11,CNRT,null,1993-11-01,1993-11-01T00:00:00.000Z,null,0,null,NON-FINAL ACTION MAILED,S,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74225018,4,CNEA,null,1992-07-08,1992-07-08T00:00:00.000Z,null,0,null,EXAMINER'S AMENDMENT MAILED,F,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74252759,2,DOCK,null,1992-05-19,1992-05-19T00:00:00.000Z,null,66454,null,ASSIGNED TO EXAMINER,D,0,null,66454,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74264103,3,CRFA,null,1992-07-23,1992-07-23T00:00:00.000Z,null,0,null,CORRESPONDENCE RECEIVED IN LAW OFFICE,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74267559,8,815F,null,1999-06-28,1999-06-28T00:00:00.000Z,null,0,null,REGISTERED - SEC. 8 (6-YR) & SEC. 15 FILED,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74272860,28,REM2,2022-07-13,2022-07-13,2022-07-13T01:35:44.000Z,null,0,null,COURTESY REMINDER - SEC. 8 (10-YR)/SEC. 9 E-MAILED,E,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74277636,5,PUBO,null,1992-10-27,1992-10-27T00:00:00.000Z,null,0,null,PUBLISHED FOR OPPOSITION,A,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74281322,14,EXT4,null,1995-02-09,1995-02-09T00:00:00.000Z,null,0,null,SOU EXTENSION 4 FILED,S,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74313380,15,C15A,null,2000-09-22,2000-09-22T00:00:00.000Z,null,0,null,REGISTERED - SEC. 8 (6-YR) ACCEPTED & SEC. 15 ACK.,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74377357,6,ETOF,null,1993-10-28,1993-10-28T00:00:00.000Z,null,0,null,EXTENSION OF TIME TO OPPOSE RECEIVED,T,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74393629,28,REAP,2014-02-06,2014-02-04,2014-02-06T09:30:48.000Z,null,0,null,TEAS REVOKE/APP/CHANGE ADDR OF ATTY/DOM REP RECEIVED,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74399733,2,CNRT,null,1993-10-07,1993-10-07T00:00:00.000Z,null,0,null,NON-FINAL ACTION MAILED,F,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74402549,22,C8.T,2017-09-01,2017-09-01,2017-09-01T11:04:40.000Z,null,74193,null,CANCELLED SEC. 8 (10-YR),O,0,null,74193,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74408910,9,CRFA,null,1994-07-07,1994-07-07T00:00:00.000Z,null,0,null,CORRESPONDENCE RECEIVED IN LAW OFFICE,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74410412,3,NPUB,null,1993-11-26,1993-11-26T00:00:00.000Z,null,0,null,NOTICE OF PUBLICATION,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74418285,2,CNRT,null,1994-01-31,1994-01-31T00:00:00.000Z,null,0,null,NON-FINAL ACTION MAILED,F,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74430565,9,815F,null,2001-03-22,2001-03-22T00:00:00.000Z,null,0,null,REGISTERED - SEC. 8 (6-YR) & SEC. 15 FILED,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74432068,12,EX3G,null,1996-03-06,1996-03-06T00:00:00.000Z,null,0,null,SOU EXTENSION 3 GRANTED,S,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74436329,9,PETG,null,1995-05-26,1995-05-26T00:00:00.000Z,null,0,null,PETITION TO REVIVE-GRANTED,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74458105,5,CNSA,null,1994-12-23,1994-12-23T00:00:00.000Z,null,0,null,APPROVED FOR PUB - PRINCIPAL REGISTER,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74466068,2,DOCK,null,1994-08-12,1994-08-12T00:00:00.000Z,null,69800,null,ASSIGNED TO EXAMINER,D,0,null,69800,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
74478196,14,SUPC,null,1997-03-19,1997-03-19T00:00:00.000Z,null,0,null,STATEMENT OF USE PROCESSING COMPLETE,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
